lsoa_code,dpi_score,dpi_z,lisa_I,lisa_p,lisa_class,gistar_z,gistar_p,gistar_class
E01000043,0.953,-0.2768120752204966,0.017836509435108984,0.85,Not sig,-0.4356762889303196,0.72,Not sig
E01000050,0.944,-0.7981001659224365,-0.3615323931924782,0.26,Not sig,-0.2369432590138852,0.61,Not sig
E01000058,0.978,1.1712103989515585,-0.48249281915527303,0.13,Not sig,0.8460217782556978,0.21,Not sig
E01000076,0.959,0.0707133185807966,-0.014893410197913504,0.89,Not sig,0.009449116554856484,0.62,Not sig
E01000081,0.956,-0.10304937831985,0.06831672979792518,0.6,Not sig,-0.6425746255570074,0.82,Not sig
E01000082,0.945,-0.7401792669555542,0.28348894790851126,0.29,Not sig,-1.0934388631048495,0.87,Not sig
E01000085,0.953,-0.2768120752204966,0.03173195311119991,0.78,Not sig,-0.46975413104256364,0.71,Not sig
E01000086,0.957,-0.04512847935296781,0.011446555183976005,0.81,Not sig,-0.4665919855478396,0.73,Not sig
E01000025,0.958,0.012792419613914401,-0.0053934673304123874,0.95,Not sig,-0.4506476246473018,0.71,Not sig
E01000028,0.936,-1.2614673576574877,0.5318527055278002,0.16,Not sig,-1.3834253981481281,0.91,Not sig
E01000033,0.942,-0.9139419638562009,1.06026935893423,0.02,LL (coldspot),-1.7990337506461787,0.98,Not sig
E01000042,0.955,-0.16097027728673222,0.016587887002355053,0.9,Not sig,-0.1919948843643316,0.67,Not sig
E01000052,0.964,0.36031781341520763,0.03939255610818636,0.7,Not sig,0.34629455983783775,0.33,Not sig
E01000055,0.965,0.4182387123820898,-0.0673240015041236,0.65,Not sig,0.19985953162378983,0.42,Not sig
E01000063,0.951,-0.39265387315426103,0.22998661515588878,0.33,Not sig,-1.1734569826955161,0.87,Not sig
E01000078,0.954,-0.21889117625361443,0.12398358926873268,0.53,Not sig,-0.7260135056362377,0.79,Not sig
E01034474,0.989,1.8083402875872627,1.3219176669412909,0.03,HH (hotspot),2.8437089836671765,0.01,Hotspot (Gi*)
E01000016,0.951,-0.39265387315426103,0.04804369262868748,0.69,Not sig,-0.5079303841983137,0.73,Not sig
E01000018,0.95,-0.4505747721211432,-0.07753260514824052,0.67,Not sig,-0.45032169651899107,0.72,Not sig
E01000044,0.958,0.012792419613914401,-0.0004714526667063515,1.0,Not sig,0.032983813438223285,0.57,Not sig
E01000049,0.961,0.18655511651456103,0.12844995864438827,0.42,Not sig,0.9227801967438529,0.19,Not sig
E01000066,0.962,0.2444760154814432,0.022007800565589944,0.78,Not sig,0.41711326741315063,0.35,Not sig
E01000067,0.974,0.9395268030840297,-0.16211953741821178,0.48,Not sig,0.7651250794631407,0.21,Not sig
E01000101,0.954,-0.21889117625361443,0.042841997559836774,0.75,Not sig,-0.4463484072103544,0.74,Not sig
E01000108,0.956,-0.10304937831985,0.008231689319993728,0.95,Not sig,-0.2510537050478612,0.63,Not sig
E01000110,0.954,-0.21889117625361443,0.15884911695614845,0.45,Not sig,-0.6610292089559134,0.8,Not sig
E01000021,0.941,-0.9718628628230831,-0.06872364823558506,0.66,Not sig,-0.9405920785822754,0.83,Not sig
E01000037,0.938,-1.1456255597237297,0.5161899755081595,0.14,Not sig,-1.3952737216400957,0.92,Not sig
E01000054,0.939,-1.0877046607568475,-0.2869179787359772,0.33,Not sig,-0.875878833514854,0.83,Not sig
E01000059,0.945,-0.7401792669555542,-0.0237592999519625,0.8,Not sig,-0.6005568196310572,0.72,Not sig
E01034471,0.956,-0.10304937831985,0.03001749042043576,0.82,Not sig,-0.3643962892161624,0.72,Not sig
E01000007,0.972,0.8236850051502652,0.6402901269376774,0.11,Not sig,1.3321478332615295,0.03,Hotspot (Gi*)
E01000008,0.96,0.12863421754767881,0.1348251880263948,0.39,Not sig,1.1154918716086075,0.08,Not sig
E01000057,0.953,-0.2768120752204966,-0.03560750470370223,0.75,Not sig,-0.34473267510706135,0.67,Not sig
E01000062,0.954,-0.21889117625361443,0.12187052698464661,0.44,Not sig,-0.589564563914079,0.81,Not sig
E01000064,0.955,-0.16097027728673222,0.1004997755088335,0.47,Not sig,-0.7516765669683185,0.75,Not sig
E01000065,0.941,-0.9718628628230831,0.30655082301231135,0.29,Not sig,-1.5283051112833772,0.91,Not sig
E01000099,0.959,0.0707133185807966,-0.013430631990368083,0.83,Not sig,0.08778441559000749,0.52,Not sig
E01000104,0.959,0.0707133185807966,-0.048244753329949056,0.63,Not sig,-0.4850415463620201,0.79,Not sig
E01000106,0.952,-0.33473297418737885,-0.05469093508922091,0.65,Not sig,0.01130326434767008,0.59,Not sig
E01000114,0.962,0.2444760154814432,-0.14555540144580692,0.42,Not sig,-0.5112345228216534,0.68,Not sig
E01000019,0.967,0.5340805103158542,-0.011728471971325616,0.91,Not sig,0.3130930326841746,0.42,Not sig
E01000053,0.958,0.012792419613914401,0.0010527841323768083,1.0,Not sig,0.04606557181143923,0.53,Not sig
E01000100,0.958,0.012792419613914401,-0.00292363918374986,0.96,Not sig,-0.11387637552717138,0.56,Not sig
E01033587,0.975,0.9974477020509118,0.8119538710042411,0.04,HH (hotspot),1.997129004546798,0.03,Hotspot (Gi*)
E01034479,0.968,0.5920014092827365,0.40189954931532046,0.19,Not sig,1.3697050134361204,0.12,Not sig
E01000020,0.971,0.7657641061833831,-0.14227400854844338,0.4,Not sig,0.48413153483278987,0.3,Not sig
E01000069,0.966,0.47615961134897206,0.26809736459131683,0.34,Not sig,1.2331063226147805,0.15,Not sig
E01000075,0.958,0.012792419613914401,-0.0031706219984161134,0.98,Not sig,-0.38797727658514136,0.67,Not sig
E01000088,0.964,0.36031781341520763,0.025479268330340157,0.84,Not sig,0.34528953097161097,0.42,Not sig
E01000091,0.955,-0.16097027728673222,-0.08286324011643444,0.67,Not sig,0.3023493080477995,0.4,Not sig
E01000102,0.947,-0.6243374690217899,0.12632990941198652,0.42,Not sig,-0.40887918215234614,0.8,Not sig
E01000013,0.955,-0.16097027728673222,0.009129052468445845,0.87,Not sig,-0.48984243169068065,0.69,Not sig
E01000015,0.978,1.1712103989515585,-0.39204274023985003,0.13,Not sig,0.6246969799235735,0.21,Not sig
E01000068,0.971,0.7657641061833831,0.2907030301404613,0.27,Not sig,1.286875547797241,0.11,Not sig
E01000045,0.956,-0.10304937831985,-0.0023130363267955664,0.94,Not sig,-0.1718033915150581,0.62,Not sig
E01000056,0.968,0.5920014092827365,-0.2067347059059529,0.39,Not sig,0.3248551115780078,0.41,Not sig
E01000071,0.966,0.47615961134897206,0.10415200774188357,0.56,Not sig,0.6884468612188333,0.21,Not sig
E01000079,0.94,-1.0297837617899652,0.2134813786599896,0.32,Not sig,-1.3578376991683314,0.92,Not sig
E01000105,0.947,-0.6243374690217899,-0.05448102791008308,0.67,Not sig,-0.674381122975312,0.8,Not sig
E01000035,0.954,-0.21889117625361443,0.16413177266636308,0.37,Not sig,-1.0141232414176244,0.86,Not sig
E01000073,0.948,-0.5664165700549076,0.08461476095599009,0.59,Not sig,-0.7222195247763017,0.77,Not sig
E01000087,0.961,0.18655511651456103,0.011391024711061267,0.89,Not sig,0.13968658301251258,0.5,Not sig
E01000098,0.948,-0.5664165700549076,-0.13847526614955122,0.43,Not sig,-0.3720416028806922,0.67,Not sig
E01000032,0.951,-0.39265387315426103,0.11153419163557526,0.47,Not sig,-0.9801080149320224,0.83,Not sig
E01000072,0.953,-0.2768120752204966,-0.014229899048177733,0.86,Not sig,-0.11560574915682452,0.63,Not sig
E01000080,0.941,-0.9718628628230831,0.3027980782998324,0.26,Not sig,-1.1746249972888414,0.88,Not sig
E01000093,0.961,0.18655511651456103,0.03480281149772667,0.71,Not sig,0.2601188169366264,0.45,Not sig
E01000111,0.926,-1.8406763473263097,-0.05020011139440948,0.81,Not sig,-2.0295301426617285,0.98,Not sig
E01000112,0.958,0.012792419613914401,-0.0036337147759153273,0.95,Not sig,-0.20057653366811887,0.61,Not sig
E01000014,0.959,0.0707133185807966,-0.01189471487244539,0.84,Not sig,-0.3456816259957828,0.65,Not sig
E01000029,0.925,-1.898597246293192,0.635523103035051,0.06,Not sig,-2.3158143727150002,0.98,Not sig
E01000070,0.968,0.5920014092827365,0.15452707536220786,0.31,Not sig,1.0448309580475303,0.15,Not sig
E01000061,0.945,-0.7401792669555542,0.7050621252054389,0.1,Not sig,-1.6234005362772836,0.95,Not sig
E01000103,0.963,0.30239691444832545,-0.03116181403970968,0.73,Not sig,0.12710934946993008,0.52,Not sig
E01000036,0.953,-0.2768120752204966,0.02050871014204955,0.85,Not sig,-0.3952642663453352,0.69,Not sig
E01000107,0.94,-1.0297837617899652,0.2134813786599896,0.39,Not sig,-1.3186793110481192,0.9,Not sig
E01000096,0.957,-0.04512847935296781,-0.015140359820428603,0.93,Not sig,0.261039294011856,0.46,Not sig
E01000030,0.968,0.5920014092827365,-0.686784259319913,0.15,Not sig,-0.5040836196325319,0.8,Not sig
E01034475,0.981,1.344973095852205,0.9052888393082084,0.02,HH (hotspot),1.9288649882819064,0.03,Hotspot (Gi*)
E01000031,0.938,-1.1456255597237297,0.5530542323406982,0.11,Not sig,-1.8616572311582906,0.96,Not sig
E01000094,0.982,1.4028939948190873,0.09920328999062941,0.71,Not sig,1.2088017804356384,0.07,Not sig
E01000060,0.934,-1.377309155591252,0.9097650775409476,0.01,LL (coldspot),-2.039702108525055,0.95,Not sig
E01000034,0.908,-2.8832525287301896,2.181838194136103,0.01,LL (coldspot),-3.6253459684278946,1.0,Not sig
E01000027,0.952,-0.33473297418737885,0.2283743726808463,0.27,Not sig,-1.0404817122502816,0.89,Not sig
E01000039,0.96,0.12863421754767881,-0.09893768560887477,0.56,Not sig,-0.6146861232851287,0.83,Not sig
E01000090,0.956,-0.10304937831985,-0.03175868530273549,0.75,Not sig,0.2298276291700285,0.47,Not sig
E01000095,0.965,0.4182387123820898,0.11839917539242567,0.52,Not sig,0.8523814196039315,0.23,Not sig
E01033918,0.991,1.9241820855210272,0.860492615920813,0.15,Not sig,2.24886565541831,0.02,Hotspot (Gi*)
E01000133,0.96,0.12863421754767881,0.03331063334016215,0.79,Not sig,0.2939770970594519,0.46,Not sig
E01000181,0.97,0.7078432072165008,-0.08114258542942339,0.64,Not sig,0.5729579366406983,0.31,Not sig
E01000185,0.933,-1.4352300545581342,-0.6210512237359238,0.12,Not sig,-1.1589817846775519,0.86,Not sig
E01000189,0.974,0.9395268030840297,0.480015659630819,0.16,Not sig,1.2747801558451821,0.08,Not sig
E01000226,0.97,0.7078432072165008,0.21404960177526264,0.41,Not sig,1.0933498935375732,0.15,Not sig
E01000306,0.971,0.7657641061833831,0.4888164263795796,0.07,Not sig,1.63657333042142,0.06,Not sig
E01000312,0.968,0.5920014092827365,0.07615163807013191,0.67,Not sig,0.6915728821823803,0.29,Not sig
E01033916,0.984,1.5187357927528518,0.8771020940345897,0.06,Not sig,2.050570156336985,0.02,Hotspot (Gi*)
E01033923,0.973,0.8816059041171475,0.47084853116788583,0.34,Not sig,0.9674923421940701,0.14,Not sig
E01000126,0.962,0.2444760154814432,0.05268838684936692,0.67,Not sig,0.2754893334155284,0.47,Not sig
E01000134,0.956,-0.10304937831985,-0.06548191166369367,0.74,Not sig,0.3648727681859341,0.37,Not sig
E01000137,0.961,0.18655511651456103,0.0780245717192628,0.65,Not sig,0.586728760695593,0.32,Not sig
E01000145,0.93,-1.608992751458781,0.3987914692477968,0.18,Not sig,-1.529703023023199,0.95,Not sig
E01000151,0.954,-0.21889117625361443,0.039461097905299745,0.86,Not sig,-0.5077701984633444,0.73,Not sig
E01000154,0.947,-0.6243374690217899,-0.31174916158548494,0.23,Not sig,-0.11706640138171168,0.58,Not sig
E01000165,0.966,0.47615961134897206,0.1770847085459305,0.47,Not sig,0.746832399376892,0.24,Not sig
E01000217,0.963,0.30239691444832545,-0.026783038757299454,0.84,Not sig,0.22951501158657503,0.43,Not sig
E01000219,0.948,-0.5664165700549076,0.14741741564536462,0.42,Not sig,-0.6304071414880384,0.8,Not sig
E01000236,0.975,0.9974477020509118,0.2785158803933943,0.31,Not sig,1.383222119352954,0.11,Not sig
E01000140,0.963,0.30239691444832545,0.19653450064562178,0.41,Not sig,0.9031647257164974,0.17,Not sig
E01000143,0.951,-0.39265387315426103,-0.1596744772565345,0.4,Not sig,-0.05772902342008927,0.55,Not sig
E01000147,0.967,0.5340805103158542,0.594586224280504,0.15,Not sig,1.5155043469840048,0.04,Hotspot (Gi*)
E01000182,0.957,-0.04512847935296781,-0.024625017701213395,0.85,Not sig,0.42714118451921484,0.31,Not sig
E01000216,0.952,-0.33473297418737885,0.044188042282514856,0.76,Not sig,-0.5828655746567739,0.74,Not sig
E01000224,0.966,0.47615961134897206,0.23775981257618814,0.22,Not sig,0.8089210122466609,0.15,Not sig
E01000238,0.971,0.7657641061833831,0.2885909470249056,0.26,Not sig,1.1679109253794175,0.1,Not sig
E01000242,0.963,0.30239691444832545,0.1860254399678373,0.32,Not sig,0.8035484747031564,0.19,Not sig
E01000277,0.966,0.47615961134897206,0.06676633758182592,0.79,Not sig,0.41893470991415355,0.32,Not sig
E01000295,0.952,-0.33473297418737885,-0.23209145331498282,0.41,Not sig,0.2534268025228668,0.4,Not sig
E01000297,0.965,0.4182387123820898,-0.08185885882646167,0.65,Not sig,0.11471503480563001,0.51,Not sig
E01000299,0.961,0.18655511651456103,0.0456082515531107,0.68,Not sig,0.5389660699294042,0.3,Not sig
E01000300,0.959,0.0707133185807966,0.017287710368085785,0.83,Not sig,0.33464313343112195,0.4,Not sig
E01000304,0.975,0.9974477020509118,0.503830843936604,0.2,Not sig,1.5386069034079148,0.07,Not sig
E01000317,0.972,0.8236850051502652,0.28997286914637016,0.23,Not sig,1.1496076080342776,0.09,Not sig
E01000319,0.962,0.2444760154814432,-0.002536668461431349,0.97,Not sig,0.263023756865433,0.43,Not sig
E01000130,0.969,0.6499223082496186,-0.04546318447702312,0.65,Not sig,0.33264251727734995,0.34,Not sig
E01000163,0.955,-0.16097027728673222,-0.05986516697021437,0.71,Not sig,0.2058178189537021,0.38,Not sig
E01000179,0.966,0.47615961134897206,-0.20902958982843442,0.34,Not sig,0.033422318407705744,0.52,Not sig
E01000215,0.966,0.47615961134897206,-0.112107021052829,0.44,Not sig,0.13571275380452227,0.47,Not sig
E01000220,0.949,-0.5084956710880254,0.494188058636258,0.13,Not sig,-0.9689237195902167,0.88,Not sig
E01000269,0.967,0.5340805103158542,0.03776660527372171,0.72,Not sig,0.7271930145600981,0.27,Not sig
E01000293,0.962,0.2444760154814432,-0.2128166867602412,0.33,Not sig,-0.7091063028879443,0.82,Not sig
E01000120,0.959,0.0707133185807966,-0.010563586703579054,0.94,Not sig,-0.2883353570078193,0.64,Not sig
E01000127,0.961,0.18655511651456103,0.043447163542033894,0.72,Not sig,0.20824767213730377,0.5,Not sig
E01000157,0.962,0.2444760154814432,0.02011976448658828,0.81,Not sig,0.3384920122947399,0.36,Not sig
E01000180,0.925,-1.898597246293192,-1.4978650070209818,0.03,LH (low-high),-1.0635219799802185,0.87,Not sig
E01000225,0.944,-0.7981001659224365,-0.47908023427093893,0.12,Not sig,-0.26190958049027274,0.61,Not sig
E01000245,0.958,0.012792419613914401,0.005905996440568673,0.92,Not sig,0.5615732796961382,0.32,Not sig
E01000286,0.949,-0.5084956710880254,0.4696442866444609,0.11,Not sig,-1.5585407250459085,0.95,Not sig
E01000309,0.97,0.7078432072165008,0.7177505561324665,0.03,HH (hotspot),1.9737634989031818,0.03,Hotspot (Gi*)
E01000311,0.96,0.12863421754767881,0.04485907809345835,0.77,Not sig,0.566915224211945,0.24,Not sig
E01000314,0.982,1.4028939948190873,0.5867445780011151,0.07,Not sig,2.1977288218620186,0.03,Hotspot (Gi*)
E01000321,0.959,0.0707133185807966,0.006755707273758745,0.94,Not sig,0.20239423229219772,0.44,Not sig
E01000117,0.941,-0.9718628628230831,0.07200427848237609,0.63,Not sig,-0.6787365007289251,0.87,Not sig
E01000132,0.975,0.9974477020509118,0.3208827966151943,0.22,Not sig,1.166079529257513,0.09,Not sig
E01000144,0.945,-0.7401792669555542,0.2110151087121855,0.31,Not sig,-1.0114162116993775,0.84,Not sig
E01000153,0.941,-0.9718628628230831,-0.22151396867222853,0.21,Not sig,-1.0515992073324683,0.85,Not sig
E01000174,0.953,-0.2768120752204966,0.01569874886955655,0.77,Not sig,-0.26366252964065234,0.69,Not sig
E01000202,0.979,1.2291312979184408,0.8557937620631614,0.11,Not sig,1.9908125862591237,0.03,Hotspot (Gi*)
E01000265,0.967,0.5340805103158542,0.15119282396028846,0.39,Not sig,0.9634275212391377,0.19,Not sig
E01000320,0.961,0.18655511651456103,0.03480281149772668,0.79,Not sig,0.28655587899259,0.44,Not sig
E01000324,0.963,0.30239691444832545,0.05057532456528111,0.65,Not sig,0.4850578439218712,0.34,Not sig
E01033912,0.983,1.4608148937859695,0.6109693402050128,0.29,Not sig,1.3792800974652206,0.09,Not sig
E01033914,0.969,0.6499223082496186,-0.20500239911343343,0.45,Not sig,0.22205821248524196,0.48,Not sig
E01000124,0.952,-0.33473297418737885,-0.21201098872268342,0.19,Not sig,0.1714734081280727,0.46,Not sig
E01000142,0.977,1.1132894999846763,0.18189676092409565,0.45,Not sig,1.3463721655567296,0.09,Not sig
E01000150,0.969,0.6499223082496186,0.4492876384403842,0.14,Not sig,1.1399705094977315,0.1,Not sig
E01000156,0.971,0.7657641061833831,0.1502495029560117,0.45,Not sig,0.7761800228237671,0.21,Not sig
E01000162,0.954,-0.21889117625361443,-0.08520957685576384,0.54,Not sig,0.0933633595472869,0.44,Not sig
E01000169,0.962,0.2444760154814432,-0.18095607792708798,0.42,Not sig,-0.5186507019941399,0.73,Not sig
E01000176,0.912,-2.6515689328626606,-1.55053488803046,0.01,LH (low-high),-2.0828486277095797,0.98,Not sig
E01000190,0.956,-0.10304937831985,-0.037130526669967766,0.75,Not sig,0.3804882126437405,0.39,Not sig
E01000197,0.979,1.2291312979184408,0.12646728067152418,0.53,Not sig,1.4177783309269438,0.09,Not sig
E01000205,0.944,-0.7981001659224365,-0.09341765455284287,0.66,Not sig,-0.8047482187927228,0.78,Not sig
E01000227,0.976,1.055368601017794,-0.04762718012075447,0.79,Not sig,0.9887642559030076,0.22,Not sig
E01000251,0.946,-0.682258367988672,-0.2853468613392031,0.33,Not sig,-0.18682061014492654,0.65,Not sig
E01000291,0.952,-0.33473297418737885,0.22837437268084676,0.35,Not sig,-1.3639877735168073,0.9,Not sig
E01000292,0.929,-1.6669136504256632,0.5579709639199638,0.09,Not sig,-2.362098381063203,0.98,Not sig
E01000191,0.965,0.4182387123820898,0.20722330347338402,0.36,Not sig,0.761580148272858,0.15,Not sig
E01000218,0.934,-1.377309155591252,0.7535390663320763,0.04,LL (coldspot),-2.0368284033833066,0.95,Not sig
E01000252,0.945,-0.7401792669555542,-0.06305849444574402,0.67,Not sig,-0.5853344913079809,0.78,Not sig
E01000267,0.949,-0.5084956710880254,0.09657895236913919,0.5,Not sig,-0.5930437501824166,0.78,Not sig
E01000289,0.942,-0.9139419638562009,0.4329737281560677,0.18,Not sig,-1.6379297331386462,0.93,Not sig
E01000115,0.947,-0.6243374690217899,-0.08031116181323587,0.62,Not sig,-0.8385025098113449,0.79,Not sig
E01000122,0.957,-0.04512847935296781,-0.01573781858457253,0.91,Not sig,0.47633929539580394,0.32,Not sig
E01000128,0.957,-0.04512847935296781,-0.007112007677244627,0.95,Not sig,-0.009679210385891951,0.56,Not sig
E01000131,0.971,0.7657641061833831,0.13176877569489992,0.51,Not sig,1.0808396258647155,0.14,Not sig
E01000152,0.976,1.055368601017794,0.04406466704771112,0.71,Not sig,0.6837748387369327,0.25,Not sig
E01000158,0.966,0.47615961134897206,0.30487015491268504,0.2,Not sig,1.0817382515777862,0.16,Not sig
E01000170,0.955,-0.16097027728673222,0.021249658586048135,0.81,Not sig,-0.46548279570219103,0.73,Not sig
E01000177,0.977,1.1132894999846763,-0.38555125119096323,0.23,Not sig,0.7374955602634132,0.26,Not sig
E01000263,0.963,0.30239691444832545,0.08268634330295656,0.71,Not sig,0.5706130322628424,0.31,Not sig
E01000281,0.973,0.8816059041171475,0.11340468566140993,0.56,Not sig,0.7469669364735799,0.17,Not sig
E01000287,0.946,-0.682258367988672,0.4891866914910258,0.12,Not sig,-1.2815234830061428,0.89,Not sig
E01000294,0.936,-1.2614673576574877,0.7437421433089968,0.06,Not sig,-2.16027900879701,0.99,Not sig
E01000313,0.967,0.5340805103158542,0.31617641477711295,0.24,Not sig,1.1660246748392222,0.14,Not sig
E01000138,0.958,0.012792419613914401,0.007820113254232132,0.98,Not sig,0.657199823515102,0.22,Not sig
E01000146,0.96,0.12863421754767881,0.020272066683214834,0.81,Not sig,0.36325781011231045,0.41,Not sig
E01000168,0.933,-1.4352300545581342,0.1478995648680324,0.49,Not sig,-1.6456906804786469,0.96,Not sig
E01000171,0.969,0.6499223082496186,-0.20918507515258983,0.29,Not sig,0.4369681168018344,0.3,Not sig
E01000183,0.973,0.8816059041171475,-0.18446518559398475,0.39,Not sig,0.6912488709356612,0.19,Not sig
E01000187,0.945,-0.7401792669555542,-0.30957162354310086,0.25,Not sig,-0.18681555506850206,0.65,Not sig
E01000192,0.957,-0.04512847935296781,-0.013646712910068795,0.84,Not sig,0.011836185259811087,0.55,Not sig
E01000195,0.956,-0.10304937831985,-0.041109668423473154,0.65,Not sig,0.2709332896067083,0.44,Not sig
E01000196,0.961,0.18655511651456103,0.1277295959740294,0.52,Not sig,0.8747957649766047,0.22,Not sig
E01000285,0.953,-0.2768120752204966,0.2465768899492203,0.26,Not sig,-1.2867569708613786,0.9,Not sig
E01000298,0.967,0.5340805103158542,0.16592350171179066,0.42,Not sig,0.9794524488311775,0.17,Not sig
E01000315,0.956,-0.10304937831985,-0.018229603340817142,0.85,Not sig,-0.0619467736842042,0.53,Not sig
E01000323,0.954,-0.21889117625361443,-0.06365634155808846,0.65,Not sig,0.19653103811300787,0.46,Not sig
E01000116,0.957,-0.04512847935296781,0.008309896672220407,0.92,Not sig,-0.4394203883932511,0.68,Not sig
E01000214,0.958,0.012792419613914401,0.0012009738211765594,0.99,Not sig,0.13968633519928303,0.49,Not sig
E01000231,0.957,-0.04512847935296781,-0.025670570538465262,0.79,Not sig,0.4628010369498225,0.37,Not sig
E01000235,0.964,0.36031781341520763,0.20704767383123313,0.2,Not sig,0.9358308795297932,0.22,Not sig
E01000243,0.965,0.4182387123820898,0.05864476195614461,0.66,Not sig,0.4814612931979113,0.36,Not sig
E01000270,0.938,-1.1456255597237297,-0.5720428861883827,0.13,Not sig,-0.4319083295458319,0.78,Not sig
E01000302,0.962,0.2444760154814432,0.08808906333064807,0.65,Not sig,0.6432382882807695,0.26,Not sig
E01000322,0.953,-0.2768120752204966,-0.05484734979367426,0.68,Not sig,-0.10535633688255966,0.55,Not sig
E01000200,0.97,0.7078432072165008,0.4928422230241337,0.16,Not sig,0.9301444801430857,0.09,Not sig
E01000203,0.966,0.47615961134897206,0.18732855727831169,0.42,Not sig,0.8188973945014328,0.22,Not sig
E01000229,0.972,0.8236850051502652,-0.12066165968488003,0.53,Not sig,0.6212291743850767,0.29,Not sig
E01000232,0.952,-0.33473297418737885,-0.1870835154356911,0.35,Not sig,0.12256239207373557,0.46,Not sig
E01000247,0.966,0.47615961134897206,-0.3469275535335658,0.21,Not sig,-0.17890386292616872,0.59,Not sig
E01000271,0.967,0.5340805103158542,-0.0771326811879953,0.5,Not sig,0.4684620107583518,0.32,Not sig
E01000303,0.97,0.7078432072165008,0.23864895070898662,0.33,Not sig,0.9920517356725318,0.18,Not sig
E01000318,0.969,0.6499223082496186,0.14634238817573986,0.45,Not sig,0.8032418449052364,0.23,Not sig
E01000136,0.965,0.4182387123820898,0.2649013087207595,0.2,Not sig,1.1327865372900947,0.13,Not sig
E01000141,0.963,0.30239691444832545,0.07198267039039774,0.48,Not sig,0.5539829221756741,0.34,Not sig
E01000159,0.971,0.7657641061833831,0.2885909470249056,0.16,Not sig,1.0540311541231924,0.15,Not sig
E01000160,0.981,1.344973095852205,0.4651422522997767,0.08,Not sig,2.1560969514596344,0.03,Hotspot (Gi*)
E01000173,0.96,0.12863421754767881,-0.030019547565010518,0.9,Not sig,-0.07738772360543238,0.63,Not sig
E01000201,0.973,0.8816059041171475,0.49273284823971086,0.13,Not sig,1.5268238048500387,0.09,Not sig
E01000204,0.963,0.30239691444832545,0.15900214108210559,0.36,Not sig,0.7214951853446453,0.18,Not sig
E01000237,0.972,0.8236850051502652,0.471719825198929,0.13,Not sig,1.3812190018588095,0.06,Not sig
E01000278,0.949,-0.5084956710880254,-0.3501176978815762,0.32,Not sig,0.22215520751820628,0.48,Not sig
E01000296,0.968,0.5920014092827365,0.3063794851156035,0.15,Not sig,0.9772855871543845,0.16,Not sig
E01000316,0.972,0.8236850051502652,-0.15644309165772666,0.46,Not sig,0.6396180233912541,0.28,Not sig
E01000161,0.98,1.2870521968853228,0.7321178262714623,0.1,Not sig,1.8374412365171706,0.02,Hotspot (Gi*)
E01000166,0.947,-0.6243374690217899,0.2089863379020741,0.35,Not sig,-0.675629966877932,0.83,Not sig
E01000194,0.952,-0.33473297418737885,-0.142768007369927,0.47,Not sig,0.020018592279967988,0.52,Not sig
E01000199,0.957,-0.04512847935296781,-0.0246250177012134,0.82,Not sig,0.5184853395511951,0.29,Not sig
